Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11835,2025-10-11,vc wiesbaden,, ,2,lópez rey cayetana,8,2,-4,12,-,-,24,5,17%,8%,24,4,3,7,29%,1
11835,2025-10-11,vc wiesbaden,, ,3,van der pijl pleun,14,8,8,11,2,2,18,2,33%,6%,20,2,-,10,50%,2
11835,2025-10-11,vc wiesbaden,, ,6,weinmann hanna,-,-,-,2,-,-,-,-,.,.,-,-,-,-,.,-
11835,2025-10-11,vc wiesbaden,, ,9,sain rene (l),-,-,-,-,-,-,14,-,50%,29%,-,-,-,-,.,-
11835,2025-10-11,vc wiesbaden,, ,10,broekstra laura,10,5,7,9,2,-,1,-,100%,0%,8,-,1,4,50%,6
11835,2025-10-11,vc wiesbaden,, ,11,konijnenberg sanne,4,1,2,24,2,-,1,-,0%,0%,4,-,-,3,75%,1
11835,2025-10-11,vc wiesbaden,, ,12,boom dagmar,13,7,4,16,1,1,29,2,31%,3%,29,4,2,11,38%,1
11835,2025-10-11,vc wiesbaden,, ,18,rieger marlene katharina,-,-,-,7,-,-,-,-,.,.,-,-,-,-,.,-
11835,2025-10-11,vc wiesbaden,, ,20,clayton hannah,5,-,2,9,3,-,-,-,.,.,5,-,-,4,80%,1
11835,2025-10-11,vc wiesbaden,, ,22,fernandez gayoso jimena,25,10,17,19,1,6,-,-,.,.,38,3,4,18,47%,1
11835,2025-10-11,vc wiesbaden,, ,,totals,79,33,36,109,11,9,87,9,31%,9%,128,13,10,57,45%,13
