Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11833,2025-10-12,skurios volleys borken,, ,1,bernhard lena,1,1,-,3,-,1,9,1,44%,22%,3,-,-,-,0%,-
11833,2025-10-12,skurios volleys borken,, ,2,demirer melisa nafia (l),1,-,-,-,-,-,4,1,50%,0%,1,-,-,1,100%,-
11833,2025-10-12,skurios volleys borken,, ,3,luther doreen,4,2,2,7,-,1,-,-,.,.,10,2,-,2,20%,1
11833,2025-10-12,skurios volleys borken,, ,4,hansen ditte kjær (l),-,-,-,-,-,-,8,-,75%,50%,-,-,-,-,.,-
11833,2025-10-12,skurios volleys borken,, ,5,loker marika,8,2,5,9,1,1,-,-,.,.,17,1,1,7,41%,-
11833,2025-10-12,skurios volleys borken,, ,6,kretschmer lara,11,1,6,9,3,-,-,-,.,.,12,1,1,8,67%,3
11833,2025-10-12,skurios volleys borken,, ,7,hövels sandra,-,-,-2,1,1,-,-,-,.,.,2,1,-,-,0%,-
11833,2025-10-12,skurios volleys borken,, ,8,gesquiere amber,2,1,2,-,-,-,-,-,.,.,2,-,-,2,100%,-
11833,2025-10-12,skurios volleys borken,, ,9,rudde hannah,-,-,-,3,-,-,-,-,.,.,-,-,-,-,.,-
11833,2025-10-12,skurios volleys borken,, ,10,konjer chaine,-,-,-,4,-,-,-,-,.,.,2,-,-,-,0%,-
11833,2025-10-12,skurios volleys borken,, ,11,mohr pia,1,-,-1,8,1,-,18,-,67%,33%,15,1,-,1,7%,-
11833,2025-10-12,skurios volleys borken,, ,12,coenders fabienne,6,1,-,6,2,-,11,2,45%,0%,20,-,2,5,25%,1
11833,2025-10-12,skurios volleys borken,, ,15,piest madleen,-,-,-1,3,-,-,10,1,40%,0%,3,-,-,-,0%,-
11833,2025-10-12,skurios volleys borken,, ,17,kastrup liza,4,1,2,6,2,-,-,-,.,.,6,-,-,2,33%,2
11833,2025-10-12,skurios volleys borken,, ,,totals,38,9,13,59,10,3,60,5,55%,20%,93,6,4,28,30%,7
