Match ID,Match Date,Guest Team,Guest Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage (Pos%),Excellent/ Perfect Pass Percentage (Exc.%),Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11842,2025-10-25,allianz mtv stuttgart,, ,2,slacanin leilani,3,1,-2,3,2,-,8,-,88%,38%,8,2,1,3,38%,-
11842,2025-10-25,allianz mtv stuttgart,, ,3,gross jasmine,6,2,2,11,4,-,-,-,.,.,7,-,-,5,71%,1
11842,2025-10-25,allianz mtv stuttgart,, ,4,bamba yurika (l),-,-,-,-,-,-,14,-,79%,7%,-,-,-,-,.,-
11842,2025-10-25,allianz mtv stuttgart,, ,5,grote lydia,15,5,14,13,-,2,-,-,.,.,26,1,1,12,46%,2
11842,2025-10-25,allianz mtv stuttgart,, ,6,stautz antonia,4,2,-,10,1,1,6,-,100%,17%,9,2,1,3,33%,-
11842,2025-10-25,allianz mtv stuttgart,, ,7,mottis fabiana (l),-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11842,2025-10-25,allianz mtv stuttgart,, ,8,holthaus eleanor joyce,-,-,-,1,-,-,1,-,100%,0%,-,-,-,-,.,-
11842,2025-10-25,allianz mtv stuttgart,, ,9,koulberg anna,5,4,2,6,1,1,-,-,.,.,4,-,2,-,0%,4
11842,2025-10-25,allianz mtv stuttgart,, ,10,kästner pia,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11842,2025-10-25,allianz mtv stuttgart,, ,11,martin pauline,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11842,2025-10-25,allianz mtv stuttgart,, ,12,varela lucia,1,-,1,4,-,-,-,-,.,.,2,-,-,1,50%,-
11842,2025-10-25,allianz mtv stuttgart,, ,15,shaffmaster melani,8,7,5,13,1,1,-,-,.,.,10,1,1,4,40%,3
11842,2025-10-25,allianz mtv stuttgart,, ,16,mogensen mikala,12,4,5,10,1,-,24,3,46%,8%,20,3,-,12,60%,-
11842,2025-10-25,allianz mtv stuttgart,, ,17,de paula viana julia,3,-,2,2,-,-,8,1,50%,0%,8,-,-,3,38%,-
11842,2025-10-25,allianz mtv stuttgart,, ,,totals,57,25,29,73,10,5,61,4,66%,11%,94,9,6,43,46%,10
