Match ID,Match Date,Home Team,Home Coach,Stadium,Number,Name,Total Points,Break Points,W-L,Total Serve,Serve Errors,Ace,Total Receptions,Reception Erros,Positive Pass Percentage,Excellent/ Perfect Pass Percentage,Total Attacks,Attack Erros,Blocked Attack,Attack Points (Exc.),Attack Points Percentage (Exc.%),Block Points
11832,2025-10-11,schwarz-weiß erfurt,, ,1,zellin alina,-,-,-1,2,-,-,-,-,.,.,1,1,-,-,0%,-
11832,2025-10-11,schwarz-weiß erfurt,, ,2,sandbothe elizabeth,6,3,1,9,2,1,-,-,.,.,8,1,2,4,50%,1
11832,2025-10-11,schwarz-weiß erfurt,, ,4,goertz lotte (l),-,-,-1,-,-,-,16,1,25%,13%,1,-,-,-,0%,-
11832,2025-10-11,schwarz-weiß erfurt,, ,5,respaut emilie,9,9,8,20,1,7,-,-,.,.,1,-,-,-,0%,2
11832,2025-10-11,schwarz-weiß erfurt,, ,6,linke lena,6,4,5,5,1,-,-,-,.,.,6,-,-,6,100%,-
11832,2025-10-11,schwarz-weiß erfurt,, ,7,siebert sina,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11832,2025-10-11,schwarz-weiß erfurt,, ,8,feistritzer lea,5,3,4,6,-,1,3,-,33%,33%,7,1,-,3,43%,1
11832,2025-10-11,schwarz-weiß erfurt,, ,9,greskamp antonia,-,-,-,-,-,-,-,-,.,.,-,-,-,-,.,-
11832,2025-10-11,schwarz-weiß erfurt,, ,10,szücs kinga,9,5,2,9,3,-,7,-,71%,43%,18,1,3,8,44%,1
11832,2025-10-11,schwarz-weiß erfurt,, ,11,kovacic isabel,10,6,7,13,2,1,-,-,.,.,21,-,1,8,38%,1
11832,2025-10-11,schwarz-weiß erfurt,, ,13,stemmler lydia,6,3,1,9,-,3,7,1,29%,29%,10,2,2,3,30%,-
11832,2025-10-11,schwarz-weiß erfurt,, ,55,stauß mia anna (l),-,-,-,-,-,-,2,-,100%,50%,-,-,-,-,.,-
11832,2025-10-11,schwarz-weiß erfurt,, ,,totals,51,33,26,73,9,13,35,2,40%,26%,73,6,8,32,44%,6
